name,logo
Airbnb,https://media.licdn.com/dms/image/v2/C560BAQFhfl32crIGIw/company-logo_100_100/company-logo_100_100/0/1630637496980/airbnb_logo?e=1737590400&v=beta&t=e2mOdM3thYTT-SokDJplXoOu8RuvDMXBnUm0aWe5wYI
Fortune,https://media.licdn.com/dms/image/v2/D4E0BAQGbzeqKbqy8Qw/company-logo_100_100/company-logo_100_100/0/1707171899185/fortune_logo?e=1737590400&v=beta&t=J2wRNKd8DU7pS4PkTIgmmtXNjM34oV80uYCXqqPisCg
Google for Developers,https://media.licdn.com/dms/image/v2/D4E0BAQEP-GpBjUi_iA/company-logo_100_100/company-logo_100_100/0/1719847719138/googledevelopers_logo?e=1737590400&v=beta&t=E530QB06QqynmGpc4ShuHRDmC9Y-jc3WL3mGb99XMaE
DeepLearning.AI,https://media.licdn.com/dms/image/v2/C560BAQEHKffoI8RwIQ/company-logo_100_100/company-logo_100_100/0/1630672537710/deeplearningai_logo?e=1737590400&v=beta&t=eJaL3NyULfOZYA6w5I0tTG3kmfuOf75fUOJzL7vyE6k
WIRED,https://media.licdn.com/dms/image/v2/C4E0BAQHD1h2ctwCoLg/company-logo_100_100/company-logo_100_100/0/1630605710063/wired_logo?e=1737590400&v=beta&t=KSiOXDJiGFS4ExGyAMEzoxVukFMEv8oblBfsSYE-3Nc
Vodafone,https://media.licdn.com/dms/image/v2/C560BAQGAjVTnzEmlYQ/company-logo_100_100/company-logo_100_100/0/1630668724567/vodafone_logo?e=1737590400&v=beta&t=OqP3W3eDpjn5XIw_TWA7TGl7Owzm_ACmuLHuSNkJmmE
The Atlantic,https://media.licdn.com/dms/image/v2/C4D0BAQFSSmi3d-LWuQ/company-logo_100_100/company-logo_100_100/0/1630538713637/the_atlantic_logo?e=1737590400&v=beta&t=S5oSkJ1SfHXwC_mzqAXKbT3OsaOFlgE_KaOv8TE4tmA
Amazon,https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=1737590400&v=beta&t=SDAznfKWVbhZwKEb02_jfXp6TvJZZUaal5_he4EyUfQ
Microsoft,https://media.licdn.com/dms/image/v2/C560BAQE88xCsONDULQ/company-logo_100_100/company-logo_100_100/0/1630652622688/microsoft_logo?e=1737590400&v=beta&t=a5BfYMPshbXnoxiHk30Wl0sC4qhcQk7-W9RQlCJo1ug
Google,https://media.licdn.com/dms/image/v2/C4D0BAQHiNSL4Or29cg/company-logo_100_100/company-logo_100_100/0/1631311446380?e=1737590400&v=beta&t=ngvPgSJ8bXSNCHJI7yPJ1lPy-6xzgaRZd-iSaeVP61s
